央视频道,#genre#
CCTV1,http://183.222.206.14:8096/rtp/239.93.0.184:5140
CCTV1,http://221.237.145.25:4000/rtp/239.93.0.184:5140
CCTV1,http://222.210.153.89:8888/rtp/239.93.0.184:5140
CCTV2,http://183.222.206.14:8096/rtp/239.93.1.23:6000
CCTV2,http://221.237.145.25:4000/rtp/239.93.1.23:6000
CCTV2,http://222.210.153.89:8888/rtp/239.93.1.23:6000
CCTV3,http://183.222.206.14:8096/rtp/239.93.1.11:2223
CCTV3,http://221.237.145.25:4000/rtp/239.93.1.11:2223
CCTV3,http://222.210.153.89:8888/rtp/239.93.1.11:2223
CCTV4,http://221.237.145.25:4000/rtp/239.93.1.105:5140
CCTV4,http://222.210.153.89:8888/rtp/239.93.1.105:5140
CCTV5,http://183.222.206.14:8096/rtp/239.93.1.36:8004
CCTV5,http://221.237.145.25:4000/rtp/239.93.1.12:2224
CCTV5,http://221.237.145.25:4000/rtp/239.93.1.36:8004
CCTV5,http://222.210.153.89:8888/rtp/239.93.1.12:2224
CCTV6,http://183.222.206.14:8096/rtp/239.93.1.13:2226
CCTV6,http://221.237.145.25:4000/rtp/239.93.1.13:2226
CCTV7,http://183.222.206.14:8096/rtp/239.93.1.67:5140
CCTV7,http://221.237.145.25:4000/rtp/239.93.1.67:5140
CCTV7,http://222.210.153.89:8888/rtp/239.93.1.67:5140
CCTV8,http://183.222.206.14:8096/rtp/239.93.42.39:5140
CCTV8,http://221.237.145.25:4000/rtp/239.93.42.39:5140
CCTV8,http://222.210.153.89:8888/rtp/239.93.42.39:5140
CCTV9,http://183.222.206.14:8096/rtp/239.93.1.24:5140
CCTV9,http://221.237.145.25:4000/rtp/239.93.1.24:5140
CCTV9,http://222.210.153.89:8888/rtp/239.93.1.24:5140
CCTV10,http://221.237.145.25:4000/rtp/239.93.1.28:5140
CCTV10,http://222.210.153.89:8888/rtp/239.93.1.28:5140
CCTV11,http://221.237.145.25:4000/rtp/239.93.0.102:5140
CCTV12,http://183.222.206.14:8096/rtp/239.93.1.30:8124
CCTV12,http://221.237.145.25:4000/rtp/239.93.1.30:8124
CCTV13,http://183.222.206.14:8096/rtp/239.93.0.66:5140
